Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
315,Cody Martin,SF,25,CHO,52,10,16.3,1.6,3.6,0.441,0.3,1.1,0.276,1.3,2.5,0.515,0.484,0.5,0.8,0.581,1,2.1,3.1,1.7,0.7,0.2,0.8,1,4
316,Jeremiah Martin,PG,24,CLE,7,0,7.4,1,3.7,0.269,0.4,1.4,0.3,0.6,2.3,0.25,0.327,0.1,0.7,0.2,0.1,0.7,0.9,0.4,0.6,0,0.7,0.1,2.6
317,Kelan Martin,SF,25,IND,32,0,7.9,1.5,3.3,0.448,0.5,1.3,0.381,1,2,0.492,0.524,0.2,0.3,0.875,0.4,1.5,1.9,0.4,0.2,0.2,0.4,0.9,3.7
318,Kenyon Martin Jr.,SF,20,HOU,43,6,23.2,3.6,6.8,0.526,0.8,1.9,0.407,2.8,4.9,0.571,0.582,1.3,1.8,0.722,1.7,3.6,5.3,1,0.6,1,0.7,1.9,9.2
319,Frank Mason III,PG,26,ORL,4,1,19.8,2.3,6,0.375,0.5,1.3,0.4,1.8,4.8,0.368,0.417,1.3,1.8,0.714,0.8,2.3,3,3,0,0,1.3,1.8,6.3
320,Garrison Mathews,SG,24,WAS,62,24,16.4,1.5,3.7,0.411,1.2,3.1,0.385,0.3,0.6,0.538,0.571,1.3,1.5,0.89,0.3,1.1,1.4,0.4,0.5,0.1,0.2,1.6,5.6
321,Dakota Mathias,SG,25,PHI,8,2,15.4,2.4,6,0.396,1,3.3,0.308,1.4,2.8,0.5,0.479,0.3,0.8,0.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6
322,Wesley Matthews,SG,34,LAL,56,10,19.8,1.5,4.4,0.351,1.1,3.4,0.335,0.4,1,0.407,0.482,0.6,0.7,0.842,0.4,1.3,1.6,0.9,0.6,0.3,0.4,1.4,4.8
323,Tyrese Maxey,SG,20,PHI,58,7,14.8,3.1,6.8,0.461,0.5,1.7,0.292,2.6,5.1,0.515,0.496,0.9,1.1,0.857,0.2,1.4,1.6,1.8,0.4,0.2,0.7,1.2,7.7
324,Skylar Mays,SG,23,ATL,31,0,7.7,1.2,2.7,0.424,0.4,1.1,0.343,0.8,1.6,0.48,0.494,0.7,0.8,0.88,0.3,0.7,1,0.7,0.5,0,0.3,0.5,3.4
325,Patrick McCaw,SF,25,TOR,5,0,6.6,0.2,0.2,1,0,0,,0.2,0.2,1,1,0.6,0.6,1,0.2,0.4,0.6,0.8,0.4,0,0,1.2,1
326,CJ McCollum,SG,29,POR,45,45,34,8.6,18.8,0.454,3.5,8.9,0.396,5,9.9,0.507,0.548,2.4,2.9,0.811,0.6,3.4,4,4.7,1,0.5,1.4,1.9,23
327,T.J. McConnell,PG,28,IND,66,2,25.5,3.8,6.9,0.561,0.2,0.7,0.318,3.6,6.2,0.587,0.576,0.5,0.7,0.689,0.8,2.8,3.6,6.4,1.8,0.3,1.9,1.6,8.4
328,Jaden McDaniels,PF,20,MIN,60,25,24,2.6,5.8,0.441,1.1,3.1,0.366,1.4,2.7,0.528,0.539,0.5,0.8,0.6,0.8,3,3.8,1.1,0.6,1,0.7,2.7,6.7
329,Jalen McDaniels,SF,23,CHO,44,15,18.3,2.7,5.8,0.467,0.7,2.1,0.337,2,3.8,0.539,0.527,0.8,1.3,0.673,1,2.5,3.4,1,0.6,0.4,1,2,7
330,Doug McDermott,PF,29,IND,63,26,24.3,5.3,9.9,0.53,1.6,4.3,0.384,3.6,5.7,0.64,0.613,1.2,1.5,0.817,0.9,2.5,3.4,1.3,0.3,0.1,0.8,1.7,13.4
331,Sean McDermott,SF,24,MEM,18,0,8.8,0.7,1.8,0.394,0.3,1.2,0.227,0.4,0.6,0.727,0.47,0.4,0.4,1,0.3,0.7,1.1,0.2,0.1,0.2,0.2,0.4,2.2
332,JaVale McGee,C,33,TOT,43,1,14.5,3,6,0.512,0.1,0.5,0.227,2.9,5.4,0.538,0.521,1,1.5,0.662,1.6,3.4,5,0.8,0.4,1.1,1.4,2.6,7.2
332,JaVale McGee,C,33,CLE,33,1,15.2,3.4,6.5,0.521,0.2,0.6,0.25,3.2,5.9,0.549,0.533,1.1,1.7,0.655,1.6,3.5,5.2,1,0.5,1.2,1.4,2.4,8
332,JaVale McGee,C,33,DEN,10,0,12.1,1.9,4.1,0.463,0,0.2,0,1.9,3.9,0.487,0.463,0.7,1,0.7,1.4,2.9,4.3,0.3,0.3,0.9,1.5,3.1,4.5
333,Rodney McGruder,SG,29,DET,16,2,12.1,2.3,4.4,0.529,0.7,1.5,0.458,1.6,2.9,0.565,0.607,0.4,0.5,0.75,0.5,0.9,1.4,1,0.5,0.1,0.4,0.8,5.7
334,Alfonzo McKinnie,SF,28,LAL,38,0,6.8,1.2,2.4,0.511,0.4,1,0.41,0.8,1.4,0.585,0.598,0.3,0.5,0.556,0.6,0.8,1.4,0.2,0.2,0,0.1,0.7,3.2
335,Jordan McLaughlin,PG,24,MIN,48,2,18.7,1.9,4.8,0.401,0.6,1.8,0.352,1.3,3,0.431,0.468,0.5,0.6,0.786,0.4,1.7,2.1,3.9,1,0.1,1,0.9,5
336,Ben McLemore,SG,27,TOT,51,5,17.5,2.6,7.1,0.371,1.9,5.4,0.348,0.7,1.7,0.447,0.504,0.8,1,0.736,0.3,1.7,2,0.7,0.5,0.2,0.8,1.7,7.9
336,Ben McLemore,SG,27,HOU,32,4,16.8,2.5,7,0.357,1.7,5.2,0.331,0.8,1.8,0.431,0.48,0.7,1,0.719,0.3,1.7,2.1,0.9,0.6,0.1,0.9,1.6,7.4
336,Ben McLemore,SG,27,LAL,19,1,18.6,2.8,7.2,0.394,2.2,5.8,0.373,0.7,1.4,0.481,0.544,0.8,1.1,0.762,0.2,1.6,1.8,0.5,0.2,0.3,0.7,1.9,8.7
337,Nicolò Melli,PF,30,TOT,43,4,12.3,1,3,0.318,0.4,1.7,0.257,0.5,1.3,0.4,0.391,0.4,0.5,0.739,0.6,2,2.6,1,0.3,0.1,0.3,1.3,2.7
337,Nicolò Melli,PF,30,NOP,22,0,11,0.7,2.7,0.254,0.3,1.7,0.189,0.4,1,0.364,0.314,0.3,0.3,0.857,0.5,2,2.6,1.1,0.4,0,0.3,1.3,2
337,Nicolò Melli,PF,30,DAL,21,4,13.8,1.2,3.3,0.371,0.6,1.8,0.324,0.7,1.6,0.424,0.457,0.5,0.8,0.688,0.6,2,2.7,0.8,0.2,0.1,0.2,1.4,3.6
338,De'Anthony Melton,PG,22,MEM,49,1,20.1,3.4,7.7,0.444,1.8,4.1,0.43,1.7,3.6,0.46,0.559,0.7,0.9,0.783,0.6,2.6,3.2,2.6,1.1,0.6,1.3,1.7,9.3
339,Sam Merrill,SG,24,MIL,28,1,7.3,1.1,2.3,0.492,0.8,1.5,0.5,0.4,0.8,0.476,0.659,0.1,0.1,1,0.2,0.8,1,0.7,0.2,0,0.4,0.5,3.1
340,Chimezie Metu,C,23,SAC,33,3,12.1,2.3,4.3,0.524,0.2,0.7,0.364,2,3.7,0.554,0.552,0.8,1.2,0.718,0.9,2,2.8,0.8,0.4,0.5,0.8,1.6,5.6
341,Khris Middleton,SF,29,MIL,66,66,33.4,7.5,15.8,0.473,2.2,5.4,0.418,5.2,10.5,0.501,0.544,3.1,3.5,0.896,0.8,5.2,6,5.4,1.1,0.1,2.6,2.3,20.3
342,Darius Miller,SF,30,OKC,18,0,10.9,1.2,2.7,0.458,0.9,2.3,0.405,0.3,0.3,0.833,0.635,0.7,0.7,1,0.1,1.2,1.3,1.2,0.7,0.3,0.4,0.7,4.1
343,Patty Mills,PG,32,SAS,66,0,24.7,3.8,9,0.416,2.4,6.3,0.378,1.4,2.7,0.506,0.549,1,1.1,0.907,0.3,1.5,1.8,2.3,0.6,0,0.9,1.2,10.9
344,Paul Millsap,PF,35,DEN,54,36,20.9,3.4,7.1,0.482,0.9,2.5,0.343,2.6,4.6,0.558,0.543,1.2,1.7,0.71,1.4,3.3,4.7,1.7,0.9,0.7,0.9,2,9
345,Shake Milton,SG,24,PHI,60,3,23.3,4.7,10.6,0.445,1.1,3.2,0.351,3.6,7.4,0.486,0.498,2.4,2.8,0.839,0.5,1.8,2.3,3,0.6,0.3,1.7,2.1,12.9
346,Donovan Mitchell,PG,24,UTA,53,53,33.4,9,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,0.52,5,6,0.845,0.9,3.5,4.4,5.2,1,0.3,2.8,2.2,26.4
347,Adam Mokoka,SG,22,CHI,13,0,4.2,0.5,1.4,0.389,0.1,0.8,0.1,0.5,0.6,0.75,0.417,0,0.1,0,0.1,0.3,0.4,0.4,0.2,0.1,0.3,0.4,1.2
348,Malik Monk,SG,22,CHO,39,0,21.6,4.3,9.8,0.441,2.2,5.2,0.414,2.2,4.6,0.472,0.551,1.5,1.8,0.826,0.4,2.2,2.5,2.2,0.5,0.1,1.4,1.2,12.3
349,E'Twaun Moore,SG,31,PHO,25,1,14.2,1.7,4.2,0.406,0.3,1.3,0.25,1.4,3,0.473,0.443,0.4,0.5,0.833,0.5,1.2,1.7,1.4,0.6,0.2,0.8,1.2,4.2
350,Ja Morant,PG,21,MEM,61,61,32.4,6.9,15.1,0.452,1.2,3.8,0.309,5.7,11.4,0.5,0.491,4.4,6,0.731,0.9,3.1,4,7.3,0.9,0.2,3.2,1.4,19.3
351,Juwan Morgan,PF,23,UTA,27,0,5.1,0.5,1,0.481,0.1,0.5,0.308,0.3,0.5,0.643,0.556,0.1,0.3,0.429,0.3,0.7,1,0.3,0.1,0,0.1,0.8,1.2
352,Marcus Morris,PF,31,LAC,55,27,26.7,4.9,10.4,0.469,2.5,5.3,0.471,2.4,5.1,0.468,0.588,1.3,1.6,0.816,0.6,3.5,4.1,1,0.6,0.3,1,2.1,13.5
353,Markieff Morris,PF,31,LAL,61,27,19.7,2.5,6.2,0.405,1.1,3.4,0.311,1.4,2.8,0.521,0.491,0.6,0.8,0.72,0.8,3.6,4.4,1.2,0.4,0.3,0.9,1.7,6.7
354,Monte Morris,PG,25,DEN,45,13,25.8,3.9,8.2,0.476,1.1,2.9,0.379,2.8,5.3,0.529,0.543,1.2,1.6,0.789,0.2,1.9,2.1,3.2,0.7,0.3,0.7,1,10.2
355,Mychal Mulder,PG,26,GSW,58,5,12.4,1.9,4.2,0.443,1.3,3.4,0.392,0.5,0.8,0.66,0.602,0.2,0.4,0.619,0.1,0.8,1,0.4,0.2,0.2,0.3,0.9,5.3
356,Dejounte Murray,PG,24,SAS,65,65,31.9,6.6,14.6,0.456,1,3,0.321,5.7,11.5,0.491,0.489,1.6,2,0.797,0.9,6.2,7,5.4,1.5,0.1,1.8,2,15.9
357,Jamal Murray,PG,23,DEN,48,48,35.5,7.9,16.5,0.477,2.7,6.6,0.408,5.2,9.9,0.523,0.559,2.8,3.2,0.869,0.8,3.3,4,4.8,1.3,0.3,2.3,2,21.2
358,Mike Muscala,C,29,OKC,35,0,18.4,3.4,7.6,0.446,1.9,5.3,0.37,1.5,2.4,0.614,0.573,0.9,1,0.917,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,9.7
359,Sviatoslav Mykhailiuk,SF-SG,23,TOT,65,14,20,3.1,7.6,0.407,1.6,4.8,0.329,1.5,2.8,0.538,0.51,0.6,0.8,0.76,0.4,2.1,2.5,1.7,0.8,0.2,1.3,1,8.3
359,Sviatoslav Mykhailiuk,SF,23,DET,36,5,17.6,2.3,6.2,0.377,1.6,4.8,0.333,0.8,1.4,0.519,0.504,0.7,0.8,0.8,0.3,1.8,2.1,1.6,0.8,0.2,1.1,0.9,6.9
359,Sviatoslav Mykhailiuk,SG,23,OKC,29,9,22.9,4,9.3,0.431,1.6,4.8,0.324,2.4,4.5,0.546,0.515,0.5,0.7,0.7,0.4,2.6,3,1.8,0.8,0.2,1.7,1,10
360,Abdel Nader,SF,27,PHO,24,0,14.8,2.4,4.8,0.491,0.8,1.8,0.419,1.6,3,0.534,0.569,1.2,1.5,0.757,0.3,2.3,2.6,0.8,0.4,0.4,0.8,1.4,6.7
361,Larry Nance Jr.,PF,28,CLE,35,27,31.2,3.7,7.8,0.471,1.2,3.3,0.36,2.5,4.5,0.551,0.546,0.9,1.4,0.612,1.5,5.2,6.7,3.1,1.7,0.5,1.6,2.1,9.3
362,Aaron Nesmith,SF,21,BOS,44,1,14.3,1.7,3.7,0.445,0.9,2.3,0.379,0.8,1.4,0.557,0.564,0.5,0.6,0.786,0.6,2.1,2.7,0.5,0.3,0.2,0.5,1.8,4.7
363,Raul Neto,PG,28,WAS,64,22,21.9,3.3,7,0.468,1,2.6,0.39,2.3,4.4,0.512,0.539,1.2,1.3,0.882,0.4,2,2.4,2.3,1.1,0.1,0.8,1.7,8.7
364,Georges Niang,PF,27,UTA,70,10,15.9,2.4,5.6,0.436,1.7,4,0.426,0.7,1.5,0.463,0.59,0.3,0.3,1,0.4,2.1,2.5,0.8,0.3,0.1,0.7,1.6,6.8
365,Zeke Nnaji,PF,20,DEN,40,1,9.1,1.1,2.4,0.474,0.5,1.3,0.377,0.6,1.1,0.595,0.579,0.3,0.4,0.8,0.3,1.1,1.5,0.2,0.2,0.1,0.2,0.7,3.1
366,Nerlens Noel,C,26,NYK,61,38,23.8,2.1,3.5,0.61,0,0,0,2.1,3.4,0.619,0.61,0.8,1.1,0.706,2.2,4.1,6.3,0.8,1,2.1,1.1,2.8,5
367,Jaylen Nowell,SG,21,MIN,41,0,18.2,3.4,8,0.424,1.2,3.6,0.336,2.2,4.5,0.495,0.498,1,1.3,0.811,0.4,1.8,2.3,1.5,0.5,0.3,0.7,1.8,9.1
368,Frank Ntilikina,PG,22,NYK,30,4,10.5,0.9,2.6,0.359,0.7,1.6,0.468,0.2,1,0.194,0.5,0.3,0.6,0.444,0.2,0.8,1,0.6,0.6,0.1,0.4,1.4,2.9
369,Kendrick Nunn,PG,25,MIA,54,42,29.5,5.6,11.7,0.475,2.2,5.8,0.376,3.4,5.9,0.572,0.568,1,1.1,0.932,0.3,2.8,3.2,2.7,1,0.2,1.5,2,14.3
370,James Nunnally,SF,30,NOP,7,0,5.9,0.7,1.9,0.385,0.6,1.7,0.333,0.1,0.1,1,0.538,0.1,0.3,0.5,0.3,0.9,1.1,0.4,0,0,0.1,0.1,2.1
371,Jusuf Nurkić,C,26,POR,35,35,23.8,4.6,9,0.506,0.3,0.8,0.379,4.3,8.2,0.519,0.524,1.9,3,0.629,2.3,6.5,8.9,3.4,1,1,1.9,2.7,11.3
372,David Nwaba,SF,28,HOU,30,9,22.6,3.5,7.3,0.486,0.6,2.1,0.27,3,5.2,0.574,0.525,1.6,2.3,0.691,1.3,2.6,3.9,1,1,0.7,0.6,2,9.2
373,Jordan Nwora,SF,22,MIL,28,2,8.4,1.7,4,0.432,0.9,1.9,0.444,0.9,2,0.421,0.541,0.6,0.8,0.81,0.1,1.5,1.6,0.3,0.5,0.2,0.8,0.7,4.9
374,Royce O'Neale,SF,27,UTA,69,69,31.7,2.5,5.6,0.443,1.5,3.9,0.383,1,1.7,0.583,0.577,0.6,0.6,0.864,1.3,5.6,6.9,2.6,0.8,0.4,1.1,2.6,7
375,Semi Ojeleye,PF,26,BOS,54,13,16.9,1.6,3.9,0.402,1.1,2.8,0.38,0.5,1.1,0.458,0.538,0.4,0.6,0.75,0.5,2,2.6,0.7,0.3,0,0.4,1,4.6
376,Jahlil Okafor,C,25,DET,25,0,12,2.2,3.5,0.625,0.1,0.3,0.286,2.1,3.2,0.654,0.636,0.5,0.8,0.684,0.7,1.6,2.3,0.5,0.2,0.2,0.8,1.4,5
377,Chuma Okeke,PF,22,ORL,45,19,25.2,3,7.2,0.417,1.1,3.1,0.348,1.9,4.1,0.47,0.492,0.7,0.9,0.75,0.9,3.1,4,2.2,1.1,0.5,0.8,1.1,7.8
378,Josh Okogie,SG,22,MIN,56,37,20.7,1.8,4.4,0.399,0.5,1.9,0.26,1.3,2.6,0.5,0.454,1.4,1.8,0.79,1.1,1.6,2.7,1.1,0.9,0.5,0.7,2.1,5.4
379,Onyeka Okongwu,C,20,ATL,48,3,11.5,1.8,2.8,0.639,0,0.1,0,1.8,2.7,0.654,0.639,0.7,1.1,0.654,1.1,1.9,3,0.3,0.4,0.6,0.5,2,4.3
380,Isaac Okoro,SG,20,CLE,65,65,32.3,3.4,8.1,0.424,0.9,3,0.294,2.5,5,0.502,0.479,1.7,2.3,0.741,1,2,3,1.9,1,0.4,1.3,2.8,9.4
381,KZ Okpala,PF,21,MIA,34,9,12,0.9,2.6,0.345,0.4,1.4,0.245,0.5,1.1,0.474,0.414,0.1,0.3,0.3,0.6,1.3,1.8,0.5,0.2,0.3,0.4,1.6,2.2
382,Victor Oladipo,SG,28,TOT,33,33,32.7,7.1,17.5,0.408,2.4,7.2,0.326,4.8,10.2,0.466,0.476,3.2,4.2,0.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8
382,Victor Oladipo,SG,28,IND,9,9,33.3,7.1,16.9,0.421,2.8,7.7,0.362,4.3,9.2,0.47,0.503,3,4.1,0.73,0.1,5.6,5.7,4.2,1.7,0.2,2,2.6,20
382,Victor Oladipo,SG,28,HOU,20,20,33.5,7.8,19.1,0.407,2.5,7.7,0.32,5.3,11.4,0.465,0.471,3.3,4.2,0.783,0.4,4.4,4.8,5,1.2,0.5,2.6,2.3,21.2
382,Victor Oladipo,SG,28,MIA,4,4,27.8,4,10.8,0.372,1,4.3,0.235,3,6.5,0.462,0.419,3,4.5,0.667,0.8,2.8,3.5,3.5,1.8,0.5,3.5,3.3,12
383,Cameron Oliver,SF,24,HOU,2,0,21,6.5,10,0.65,1.5,4,0.375,5,6,0.833,0.725,0.5,1.5,0.333,0.5,2,2.5,1.5,1,0.5,0.5,2.5,15
384,Kelly Olynyk,C-PF,29,TOT,68,60,28.6,4.8,9.9,0.488,1.8,5.3,0.343,3,4.6,0.655,0.58,1.9,2.3,0.828,1.3,5.7,7,2.8,1.1,0.6,1.8,2.9,13.4
384,Kelly Olynyk,C,29,MIA,43,38,26.9,3.8,8.7,0.431,1.8,5.7,0.317,2,3.1,0.639,0.533,0.7,0.9,0.775,1,5,6.1,2.1,0.9,0.6,1.3,2.9,10
384,Kelly Olynyk,PF,29,HOU,25,22,31.4,6.6,11.8,0.561,1.8,4.6,0.397,4.8,7.2,0.667,0.639,4,4.7,0.846,1.6,6.9,8.5,3.9,1.4,0.6,2.6,3,19.1
385,Miye Oni,SG,23,UTA,52,0,9.5,0.7,1.9,0.351,0.6,1.7,0.337,0.1,0.2,0.455,0.5,0.1,0.1,0.833,0.4,1.2,1.6,0.5,0.2,0.2,0.3,1.1,2
386,Cedi Osman,SF,25,CLE,57,24,25.5,3.7,9.9,0.371,1.7,5.5,0.306,2,4.4,0.452,0.456,1.3,1.7,0.8,0.6,2.7,3.4,2.9,0.9,0.2,1.3,2,10.4
387,Daniel Oturu,C,21,LAC,27,0,4.1,0.6,1.1,0.517,0,0,0,0.6,1,0.536,0.517,0.2,0.3,0.625,0.4,0.7,1.1,0.3,0,0.1,0.2,0.7,1.3
388,Kelly Oubre Jr.,SF,25,GSW,55,50,30.7,5.8,13.2,0.439,1.6,5.2,0.316,4.1,8,0.519,0.501,2.2,3.2,0.695,1.5,4.5,6,1.3,1,0.8,1.3,2.2,15.4
389,Jabari Parker,PF,25,TOT,11,0,11,1.9,3.5,0.538,0,0.5,0,1.9,3,0.636,0.538,0.3,0.4,0.75,0.8,2.1,2.9,0.6,0.1,0.5,0.8,0.8,4.1
389,Jabari Parker,PF,25,SAC,3,0,9,1.3,2.3,0.571,0,0.3,0,1.3,2,0.667,0.571,0,0,,0.3,1.7,2,0.3,0,0.3,1,1.3,2.7
389,Jabari Parker,PF,25,BOS,8,0,11.8,2.1,4,0.531,0,0.6,0,2.1,3.4,0.63,0.531,0.4,0.5,0.75,1,2.3,3.3,0.8,0.1,0.5,0.8,0.6,4.6
390,Eric Paschall,PF,24,GSW,39,2,17.3,3.7,7.5,0.491,0.4,1.4,0.321,3.3,6.2,0.529,0.52,1.6,2.3,0.719,0.7,2.5,3.2,1.3,0.3,0.2,1.1,1.7,9.5
391,Anžejs Pasečņiks,C,25,WAS,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,1,0,1,1,0,0,5,2,0
392,Patrick Patterson,PF,31,LAC,36,4,14.2,1.8,4,0.434,1,2.8,0.364,0.8,1.3,0.587,0.559,0.3,0.4,0.75,0.4,1.4,1.9,0.6,0.4,0.2,0.3,1.2,4.8
393,Justin Patton,C,23,HOU,13,6,19,2.2,5.4,0.414,0.7,2.6,0.265,1.5,2.8,0.556,0.479,0.2,0.3,0.75,1.1,2.7,3.8,1.1,0.9,1.1,0.3,2.6,5.4
394,Chris Paul,PG,35,PHO,68,68,31.5,6.2,12.6,0.492,1.5,3.7,0.39,4.7,8.8,0.536,0.55,2.4,2.6,0.933,0.4,4.1,4.5,8.9,1.4,0.3,2.3,2.4,16.3
395,Cameron Payne,PG,26,PHO,57,0,17.7,3,6.3,0.475,1.1,2.7,0.425,1.9,3.6,0.512,0.565,0.8,0.9,0.885,0.3,2.1,2.3,3.5,0.6,0.3,1,1.6,7.9
396,Elfrid Payton,PG,26,NYK,60,60,24.1,4.5,10.2,0.439,0.5,1.6,0.289,4,8.6,0.467,0.462,1.2,1.8,0.682,1.1,2.4,3.5,3.3,0.8,0.2,1.7,1.9,10.6
397,Gary Payton II,PG,28,GSW,10,0,4,1,1.3,0.769,0.2,0.4,0.5,0.8,0.9,0.889,0.846,0.3,0.4,0.75,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5
398,Norvel Pelle,C,27,TOT,13,0,6.5,0.6,1.2,0.533,0,0,,0.6,1.2,0.533,0.533,0.3,0.5,0.667,0.5,1,1.5,0.2,0.1,0.7,0.2,1.1,1.5
398,Norvel Pelle,C,27,BRK,3,0,9.3,1,2.3,0.429,0,0,,1,2.3,0.429,0.429,0,0,,1,1.3,2.3,0,0,1,1,3,2
398,Norvel Pelle,C,27,SAC,1,0,4,0,1,0,0,0,,0,1,0,0,3,4,0.75,1,0,1,1,0,0,0,1,3
398,Norvel Pelle,C,27,NYK,9,0,5.8,0.6,0.8,0.714,0,0,,0.6,0.8,0.714,0.714,0.1,0.2,0.5,0.2,1,1.2,0.1,0.1,0.7,0,0.4,1.2
399,Reggie Perry,PF,20,BRK,24,0,8.5,1.3,3.2,0.421,0.2,0.9,0.19,1.2,2.3,0.509,0.447,0.4,0.5,0.769,1.1,1.8,2.9,0.6,0.3,0.3,0.6,1.5,3.3
400,Theo Pinson,SG,25,NYK,17,0,2,0.1,0.5,0.111,0,0.5,0,0.1,0.1,1,0.111,0,0,,0,0.3,0.3,0.1,0,0,0.1,0.2,0.1
401,Mason Plumlee,C,30,DET,56,56,26.8,4.2,6.8,0.614,0,0.1,0,4.2,6.7,0.626,0.614,2,3,0.669,2.6,6.7,9.3,3.6,0.8,0.9,1.9,3.3,10.4
402,Jakob Poeltl,C,25,SAS,67,49,26.6,3.8,6.1,0.619,0,0,,3.8,6.1,0.619,0.619,0.9,1.8,0.512,3.2,4.7,7.9,2,0.7,1.7,1.2,2.5,8.5
403,Vincent Poirier,C,27,PHI,10,0,3.9,0.3,1.2,0.25,0,0.1,0,0.3,1.1,0.273,0.25,0.2,0.6,0.333,0.6,0.8,1.4,0.2,0,0.3,0.4,0.8,0.8
404,Aleksej Pokusevski,PF,19,OKC,43,26,23.7,2.9,8.8,0.332,1.2,4.6,0.265,1.7,4.3,0.404,0.401,0.7,0.9,0.737,0.7,3.8,4.5,2.2,0.4,1,2,1.3,7.7
405,Jordan Poole,SG,21,GSW,49,6,19,3.8,9,0.424,1.8,5.3,0.346,2,3.7,0.536,0.526,1.9,2.2,0.877,0.3,1.5,1.7,1.9,0.5,0.2,0.9,1.7,11.4
406,Jontay Porter,PF,21,MEM,10,0,3.3,0.5,1.2,0.417,0.2,0.7,0.286,0.3,0.5,0.6,0.5,0.3,0.3,1,0.2,0.9,1.1,0.1,0.2,0,0.6,0.8,1.5
407,Kevin Porter Jr.,SG,20,HOU,26,23,32.1,6,14.1,0.425,1.9,6.2,0.311,4.1,7.9,0.515,0.493,2.7,3.6,0.734,0.8,3,3.8,6.3,0.7,0.3,3.5,2.3,16.6
408,Michael Porter Jr.,SF,22,DEN,59,52,31.8,7.4,13.5,0.548,2.8,6.3,0.45,4.6,7.3,0.632,0.652,1.8,2.2,0.788,1.5,5.9,7.4,1.1,0.7,0.9,1.3,2.1,19.4
409,Otto Porter,SF-PF,27,TOT,28,6,21.6,3.5,8.1,0.432,1.4,3.7,0.375,2.1,4.4,0.48,0.518,1.3,1.5,0.857,1,4.4,5.4,2,0.6,0.1,0.9,1.5,9.7
409,Otto Porter,SF,27,CHI,25,6,21.6,3.6,8.1,0.441,1.5,3.8,0.4,2,4.3,0.477,0.535,1.2,1.5,0.838,1.1,4.4,5.5,2,0.5,0.2,1,1.5,9.9
409,Otto Porter,PF,27,ORL,3,0,22,3,8.3,0.36,0.3,3,0.111,2.7,5.3,0.5,0.38,1.7,1.7,1,0,4.7,4.7,1.7,1.3,0,0,1.3,8
410,Bobby Portis,C,25,MIL,64,7,20.9,4.7,9.1,0.519,1.1,2.4,0.467,3.6,6.8,0.537,0.58,0.8,1.1,0.729,1.9,5.3,7.2,1.1,0.8,0.4,0.9,1.7,11.4
411,Kristaps Porziņģis,C,25,DAL,41,41,30.9,7.6,16,0.474,2.2,6,0.363,5.4,9.9,0.542,0.543,2.8,3.3,0.853,1.9,7.1,9,1.6,0.5,1.4,1.2,2.7,20.1
412,Dwight Powell,C,29,DAL,56,17,16.3,2.1,3.4,0.622,0.1,0.4,0.238,2,3,0.671,0.636,1.6,2.1,0.776,1.4,2.6,4,1,0.6,0.5,0.7,2.3,5.9
413,Norman Powell,SG-SF,27,TOT,67,56,31.8,6.4,13.4,0.477,2.5,6.1,0.407,3.9,7.3,0.535,0.569,3.4,3.9,0.867,0.6,2.5,3.1,1.9,1.2,0.3,1.7,2.4,18.7
413,Norman Powell,SG,27,TOR,42,31,30.4,6.7,13.5,0.498,2.8,6.4,0.439,3.9,7.1,0.552,0.602,3.4,3.9,0.865,0.5,2.5,3,1.8,1.1,0.2,1.8,2.3,19.6
413,Norman Powell,SF,27,POR,25,25,34.2,5.9,13.4,0.44,1.9,5.6,0.345,4,7.8,0.508,0.512,3.5,4,0.87,0.9,2.4,3.3,1.9,1.3,0.4,1.5,2.4,17.2
414,Taurean Prince,PF,26,TOT,41,10,22.1,3.2,8,0.401,1.5,3.8,0.4,1.7,4.2,0.401,0.495,1.6,1.9,0.855,0.5,3,3.5,1.9,0.7,0.6,1.1,1.8,9.5
414,Taurean Prince,PF,26,BRK,12,4,18.2,2.5,6.2,0.405,1.1,3.1,0.351,1.4,3.1,0.459,0.493,2,2.3,0.889,0.2,2.7,2.8,0.6,0.7,0.7,0.9,1.8,8.1
414,Taurean Prince,PF,26,CLE,29,6,23.7,3.5,8.7,0.399,1.7,4.1,0.415,1.8,4.7,0.385,0.496,1.4,1.7,0.837,0.6,3.1,3.7,2.4,0.7,0.5,1.2,1.9,10.1
415,Payton Pritchard,SG,23,BOS,64,2,19,2.8,6.2,0.449,1.5,3.6,0.416,1.3,2.5,0.497,0.572,0.6,0.7,0.889,0.5,1.8,2.3,1.8,0.5,0.1,0.8,1.6,7.7
416,Immanuel Quickley,PG,21,NYK,61,3,19.6,3.7,9.2,0.399,1.9,4.8,0.397,1.8,4.4,0.401,0.503,2.5,2.8,0.889,0.4,1.8,2.2,2.1,0.5,0.2,0.9,1.8,11.7
