Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
245,Josh Jackson,SG,23,DET,60,24,25,4.8,11.3,0.423,1.3,4.1,0.309,3.5,7.3,0.486,0.478,2.5,3.5,0.729,0.9,3.1,4,2.2,0.9,0.7,2.3,2.9,13.3
246,Justin Jackson,SF,25,OKC,33,3,16.5,2.6,6.4,0.406,1,3.4,0.306,1.6,3.1,0.515,0.486,0.9,1.1,0.857,0.4,1.7,2.2,1.5,0.5,0.1,0.9,0.9,7.2
247,Reggie Jackson,SG,30,LAC,65,42,23.2,3.9,8.7,0.45,1.8,4.1,0.432,2.1,4.6,0.465,0.551,1,1.3,0.817,0.4,2.5,2.9,3.1,0.6,0.1,1.1,1.9,10.6
248,Justin James,SF,24,SAC,34,0,7.4,1,2.4,0.432,0.3,0.9,0.323,0.7,1.5,0.5,0.494,0.4,0.7,0.5,0.1,0.4,0.5,0.5,0.2,0.1,0.3,0.5,2.7
249,LeBron James,PG,36,LAL,43,43,33.7,9.3,18.1,0.513,2.3,6.4,0.366,7,11.7,0.594,0.578,4.1,5.8,0.701,0.6,7.3,7.9,7.8,1,0.6,3.8,1.6,25
250,Mike James,PG,30,BRK,11,1,17.5,2.3,6.2,0.368,0.7,2.1,0.348,1.5,4.1,0.378,0.426,1.8,2.2,0.833,0.3,1.9,2.2,3.7,0.4,0.1,1.5,0.7,7.1
251,DaQuan Jeffries,SG,23,TOT,31,5,15.9,1.6,3.9,0.417,0.6,2.2,0.299,1,1.7,0.566,0.5,0.2,0.3,0.875,0.6,1.7,2.3,0.7,0.5,0.3,0.5,1.5,4.1
251,DaQuan Jeffries,SG,23,SAC,18,2,12.9,1.3,3.2,0.421,0.5,1.6,0.321,0.8,1.6,0.517,0.5,0.3,0.4,0.857,0.5,1.1,1.6,0.3,0.4,0.2,0.4,1.3,3.5
251,DaQuan Jeffries,SG,23,HOU,13,3,20.1,2,4.8,0.413,0.8,3,0.282,1.2,1.8,0.625,0.5,0.1,0.1,1,0.8,2.5,3.2,1.2,0.6,0.5,0.5,1.9,4.9
252,Ty Jerome,SG,23,OKC,33,1,23.9,3.9,8.7,0.446,2.2,5.1,0.423,1.7,3.6,0.479,0.57,0.8,1,0.765,0.3,2.5,2.8,3.6,0.6,0.2,1.4,1.8,10.7
253,Isaiah Joe,SG,21,PHI,38,1,8.8,1,3,0.345,0.8,2.3,0.348,0.2,0.6,0.333,0.482,0.3,0.5,0.722,0.2,0.7,0.9,0.5,0.3,0.1,0.2,0.8,3.2
254,Alize Johnson,PF,24,BRK,16,0,11.4,2.4,4.1,0.6,0.1,0.4,0.167,2.4,3.7,0.644,0.608,0.8,0.8,1,1.6,3.9,5.6,0.9,0.3,0.3,0.6,0.9,5.8
255,Cameron Johnson,PF,24,PHO,60,11,24,3.4,8.1,0.42,2,5.6,0.349,1.4,2.5,0.581,0.541,0.8,1,0.847,0.6,2.8,3.3,1.4,0.6,0.3,0.7,1.4,9.6
256,James Johnson,PF,33,TOT,49,10,20.4,2.9,6.4,0.446,0.6,2.4,0.256,2.2,4,0.558,0.494,0.9,1.5,0.616,0.6,2.8,3.5,1.9,0.9,0.9,1,2.3,7.2
256,James Johnson,PF,33,DAL,29,1,17.4,2.3,5,0.462,0.5,2.1,0.25,1.8,2.9,0.612,0.514,0.6,1,0.586,0.5,2.5,3,1.7,0.8,0.8,0.9,2,5.7
256,James Johnson,PF,33,NOP,20,9,24.8,3.7,8.5,0.432,0.8,2.9,0.263,2.9,5.6,0.518,0.476,1.4,2.2,0.636,0.9,3.4,4.2,2.1,0.9,1,1.2,2.8,9.5
257,Keldon Johnson,SF,21,SAS,66,64,28.6,4.9,10.2,0.479,0.9,2.6,0.337,4,7.7,0.526,0.521,2.1,2.8,0.734,1.4,4.7,6.1,1.7,0.6,0.4,1.1,2.1,12.7
258,Stanley Johnson,PF,24,TOR,58,10,15.2,1.1,3.1,0.373,0.6,1.8,0.321,0.6,1.2,0.451,0.469,0.5,0.6,0.794,0.4,1.8,2.2,1.3,0.8,0.3,0.8,1.9,3.3
259,Tyler Johnson,SG,28,BRK,37,3,17.5,1.8,4.7,0.387,1.2,3.4,0.357,0.6,1.3,0.468,0.517,0.5,0.6,0.857,0.2,1.8,1.9,1.2,0.4,0,0.4,1,5.3
260,Nikola Jokić,C,25,DEN,69,69,35,10.2,18,0.564,1.3,3.3,0.398,8.8,14.7,0.602,0.601,4.8,5.5,0.866,2.8,8,10.8,8.4,1.3,0.7,3.2,2.7,26.5
261,Damian Jones,C,25,TOT,36,8,12.6,1.5,2.2,0.679,0,0.1,0.333,1.4,2.1,0.693,0.686,0.9,1.3,0.739,0.8,2,2.8,0.6,0.3,0.7,0.6,1.9,3.9
261,Damian Jones,C,25,PHO,14,0,6.7,0.6,1.1,0.5,0,0.1,0,0.6,1.1,0.533,0.5,0.4,0.8,0.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
261,Damian Jones,C,25,LAL,8,6,14,2,2.1,0.941,0,0,,2,2.1,0.941,0.941,1.4,1.5,0.917,1,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4
261,Damian Jones,C,25,SAC,14,2,17.6,2.1,3.2,0.644,0.1,0.1,0.5,2,3.1,0.651,0.656,1.2,1.6,0.739,1,3,4,1.1,0.6,0.9,0.8,2,5.4
262,Derrick Jones Jr.,SF,23,POR,57,43,23,2.6,5.3,0.485,0.8,2.4,0.321,1.8,2.9,0.617,0.556,1,1.6,0.648,1.4,2.2,3.6,0.8,0.6,0.9,0.6,2.2,6.9
263,Mason Jones,SG,22,TOT,32,1,10.4,1.6,3.8,0.423,0.8,2.1,0.364,0.9,1.8,0.491,0.52,1.3,2,0.625,0.2,1.5,1.7,1.3,0.2,0,0.9,0.8,5.3
